gene,day,gDNA,mRNA
MRPL37,day 21,-0.47,-4.08
MRPL38,day 5,-0.47,-0.28
MRPL38,day 13,-3.63,-2.7
MRPL38,day 21,-3.02,-4.66
MRPL39,day 5,-0.4,-0.65
MRPL39,day 13,-2.1,-1.66
MRPL39,day 21,-2.21,-4.06
MRPL4,day 5,-0.05,-0.13
MRPL4,day 13,-2.43,-2.72
MRPL4,day 21,-1.85,-4.09
MRPL40,day 5,-0.07,0.18
MRPL40,day 13,-0.45,-0.64
MRPL40,day 21,-1.43,-1.13
MRPL41,day 5,0.09,-0.04
MRPL41,day 13,-2.6,-3.04
MRPL41,day 21,-2.1,-4.73
MRPL42,day 5,-0.08,0.35
MRPL42,day 13,-0.94,0.81
MRPL42,day 21,-0.53,0.55
MRPL43,day 5,0.17,0.19
MRPL43,day 13,-2.1,-2.27
MRPL43,day 21,-3.02,-5.27
MRPL44,day 5,0.72,-0.05
MRPL44,day 13,-1.71,-3.32
MRPL44,day 21,-2.85,-5.46
MRPL45,day 5,0.32,0.11
MRPL45,day 13,0.09,-2.27
MRPL45,day 21,-0.88,-4.15
MRPL46,day 5,0.47,0.23
MRPL46,day 13,-1.71,-2.89
MRPL46,day 21,-1.14,-3.24
MRPL47,day 5,0.7,0.08
MRPL47,day 13,-1.09,-1.53
MRPL47,day 21,-1.23,-2.35
MRPL48,day 5,0.31,-0.13
MRPL48,day 13,-0.92,-1.84
MRPL48,day 21,-1.92,-2.52
MRPL49,day 5,0.09,-0.17
MRPL49,day 13,-2.22,-1.93
MRPL49,day 21,-2.93,-2.71
MRPL50,day 5,-0.09,0.03
MRPL50,day 13,-1.38,-1.24
MRPL50,day 21,-2.11,-1.77
MRPL51,day 5,0.55,-0.2
MRPL51,day 13,-1.22,-2.72
MRPL51,day 21,-2.04,-3.76
MRPL52,day 5,-0.08,-0.16
MRPL52,day 13,-1.49,-2.32
MRPL52,day 21,-2.09,-5.01
MRPL53,day 5,0.07,0.2
MRPL53,day 13,-1.73,-2.69
MRPL53,day 21,-1.81,-4.51
MRPL54,day 5,0.67,0.14
MRPL54,day 13,-0.42,-1.13
MRPL54,day 21,-0.98,-1.16
MRPL55,day 5,0.13,-0.01
MRPL55,day 13,0.28,-0.44
MRPL55,day 21,-1.13,-0.73
MRPL57,day 5,-0.02,-0.33
MRPL57,day 13,-3.1,-3.67
MRPL57,day 21,-2.86,-5.79
MRPL58,day 5,-0.4,-0.08
MRPL58,day 13,-1.74,-1.32
MRPL58,day 21,-1.3,-2.58
MRPL9,day 5,-0.18,-0.43
MRPL9,day 13,-0.87,-1.93
MRPL9,day 21,-0.96,-2.09
MRPS10,day 5,0.26,-0.11
MRPS10,day 13,-1.22,-1.54
MRPS10,day 21,-0.75,-1.99
MRPS11,day 5,0.4,0.58
MRPS11,day 13,-0.43,0.5
MRPS11,day 21,-0.03,0.58
MRPS12,day 5,-0.66,-0.19
MRPS12,day 13,-2.59,-3.01
MRPS12,day 21,-3.07,-5.03
MRPS14,day 5,-0.04,0.18
MRPS14,day 13,-1.3,-2.53
MRPS14,day 21,-1.68,-4.27
MRPS15,day 5,0.31,0.14
MRPS15,day 13,-0.42,-1.19
MRPS15,day 21,-0.81,-3.09
MRPS16,day 5,0.08,-0.12
MRPS16,day 13,-1,-2.52
MRPS16,day 21,-1.66,-4.68
MRPS17,day 5,-0.67,-0.36
MRPS17,day 13,-2.93,-2.32
MRPS17,day 21,-1.74,-4.51
MRPS18A,day 5,0.1,0.18
MRPS18A,day 13,-0.69,-0.48
MRPS18A,day 21,-1.78,-0.53
MRPS18B,day 5,0.09,0.24
MRPS18B,day 13,-0.45,-1.27
MRPS18B,day 21,-1.54,-1.97
MRPS18C,day 5,-0.59,-0.03
MRPS18C,day 13,-0.83,-1.78
MRPS18C,day 21,-0.4,-2.16
MRPS2,day 5,-0.76,-0.02
MRPS2,day 13,-1.51,-1.75
MRPS2,day 21,-3.2,-3.96
MRPS21,day 5,0.82,-0.33
MRPS21,day 13,-0.54,-1.95
MRPS21,day 21,-0.31,-2.4
MRPS22,day 5,-0.19,-0.1
MRPS22,day 13,-1.1,-1.01
MRPS22,day 21,-0.18,-0.9
MRPS23,day 5,-0.26,-0.06
MRPS23,day 13,-3.08,-2.5
MRPS23,day 21,-3.56,-4.89
MRPS24,day 5,-0.06,0.32
MRPS24,day 13,-0.7,-1.32
MRPS24,day 21,-1.7,-1.65
MRPS25,day 5,-0.05,0.22
MRPS25,day 13,-2.08,-1.67
MRPS25,day 21,-2.8,-5.14
MRPS26,day 5,1.61,0.33
MRPS26,day 13,-0.75,-1.31
MRPS26,day 21,-0.1,-1.47
MRPS27,day 5,-0.27,0.31
MRPS27,day 13,-2.22,-1.54
MRPS27,day 21,-2.47,-3.09
MRPS28,day 5,-0.1,-0.09
MRPS28,day 13,0.19,0.45
MRPS28,day 21,0.06,0.69
MRPS30,day 5,-0.45,-0.05
MRPS30,day 13,-2.62,-2.69
MRPS30,day 21,-1.95,-3.02
MRPS31,day 5,0.3,-0.11
MRPS31,day 13,-1.98,-0.89
MRPS31,day 21,-1.15,-1.91
MRPS33,day 5,0.09,-0.17
MRPS33,day 13,-1.79,-2.78
MRPS33,day 21,-1.96,-4.25
MRPS34,day 5,-0.39,-0.46
MRPS34,day 13,-2.45,-1.87
MRPS34,day 21,-2.32,-5.02
MRPS35,day 5,0.87,0.12
MRPS35,day 13,-0.24,-1.72
MRPS35,day 21,-1.29,-3.56
MRPS36,day 5,-0.06,-0.25
MRPS36,day 13,0.57,0.37
MRPS36,day 21,0.8,1
MRPS5,day 5,-0.07,-0.02
MRPS5,day 13,-1.23,-2.4
MRPS5,day 21,-1.87,-3.98
MRPS6,day 5,0.42,0.19
MRPS6,day 13,-0.96,-0.75
MRPS6,day 21,-2.77,-2.54
MRPS7,day 5,0.43,0.06
MRPS7,day 13,-1.31,-1.15
MRPS7,day 21,-1.56,-2.75
MRPS9,day 5,0.08,0.28
MRPS9,day 13,0.01,-0.07
MRPS9,day 21,-1.36,-0.07
MRRF,day 5,0.25,0.19
MRRF,day 13,-0.24,0.19
MRRF,day 21,-1.91,-2.53
MRTO4,day 5,-0.56,-0.4
MRTO4,day 13,-2.35,-3.23
MRTO4,day 21,-1.84,-3.01
MSI1,day 5,0.5,0.09
MSI1,day 13,0.94,0.95
MSI1,day 21,1.23,1.39
MSI2,day 5,0.15,0.12
MSI2,day 13,0.57,0.75
MSI2,day 21,0.85,1.49
MSL1,day 5,0.22,0.14
MSL1,day 13,0.9,0.86
MSL1,day 21,0.76,1.25
MSL3,day 5,0.93,0.05
MSL3,day 13,1,1.08
MSL3,day 21,1.97,1.12
MSN,day 5,-0.26,0.04
MSN,day 13,1.97,1.14
MSN,day 21,2.22,1.82
MTAGBFP2,day 5,-0.37,-0.15
MTAGBFP2,day 13,1.05,1.11
MTAGBFP2,day 21,1.61,1.82
MTCL1,day 5,0.36,0.42
MTCL1,day 13,0.46,0.89
MTCL1,day 21,1.6,1.1
MTDH,day 5,-0.63,0.08
MTDH,day 13,0.3,1.17
MTDH,day 21,1.3,1.98
MTERF1,day 5,-0.78,0.11
MTERF1,day 13,0.56,0.62
MTERF1,day 21,0.71,0.9
MTERF4,day 5,-0.91,0.19
MTERF4,day 13,-0.98,-1.14
MTERF4,day 21,-2.09,-4.7
MTFMT,day 5,0.22,0.12
MTFMT,day 13,-0.07,-1.08
MTFMT,day 21,-0.82,-2.17
MTG1,day 5,0.42,0.02
MTG1,day 13,-0.77,-1.22
MTG1,day 21,-2.88,-4.26
MTHFD1,day 5,0.05,-0.08
MTHFD1,day 13,-0.24,-0.34
MTHFD1,day 21,0.52,0.13
MTHFSD,day 5,-0.67,-0.08
MTHFSD,day 13,1.1,0.62
MTHFSD,day 21,0.79,0.51
MTIF2,day 5,0.45,0.23
MTIF2,day 13,0.68,-0.91
MTIF2,day 21,-2.57,-3.91
MTIF3,day 5,-0.34,0.33
MTIF3,day 13,-0.16,0.41
MTIF3,day 21,-0.8,-0.45
MTO1,day 5,-0.55,0.09
MTO1,day 13,-0.13,-0.07
MTO1,day 21,-1.3,-1.63
MTPAP,day 5,0.15,0.12
MTPAP,day 13,-1.61,-3.02
MTPAP,day 21,-2.65,-5.36
MTREX,day 5,0.22,-0.47
MTREX,day 13,-1.9,-5.04
MTREX,day 21,-1.69,-4.55
MTRF1,day 5,-0.25,0.08
MTRF1,day 13,0.25,0.69
MTRF1,day 21,-0.02,0.71
MTRF1L,day 5,-0.07,0.19
MTRF1L,day 13,0.51,-0.19
MTRF1L,day 21,0.04,-1.33
MVP,day 5,-0.1,-0.23
MVP,day 13,-0.4,0.54
MVP,day 21,0.15,1.4
MYBBP1A,day 5,-0.3,0.05
MYBBP1A,day 13,-3.51,-2.67
MYBBP1A,day 21,-2.21,-4.37
MYEF2,day 5,0.36,-0.05
MYEF2,day 13,-0.59,0.01
MYEF2,day 21,-1.17,-0.34
MYH14,day 5,0.19,0.21
MYH14,day 13,1.13,0.84
MYH14,day 21,1.13,1.66
MYH9,day 5,0.22,0.36
MYH9,day 13,1.67,1.47
MYH9,day 21,2.28,2.15
MYO18A,day 5,0.08,0.12
MYO18A,day 13,0.57,0.82
MYO18A,day 21,0.92,1.15
MYO5A,day 5,-0.03,-0.08
MYO5A,day 13,1,0.39
MYO5A,day 21,0.91,0.8
N4BP1,day 5,-0.33,0.3
N4BP1,day 13,0.05,1.05
N4BP1,day 21,0.6,1.66
N4BP2,day 5,0.44,0.03
N4BP2,day 13,0.78,0.8
N4BP2,day 21,1.54,1.69
NAA15,day 5,-1.2,0.56
NAA15,day 13,-1.77,-1.45
NAA15,day 21,-1.43,-1.94
NAA38,day 5,0.53,0.18
NAA38,day 13,1.09,0.87
NAA38,day 21,0.2,0.56
NAA50,day 5,0.21,-0.34
NAA50,day 13,-0.56,-2.08
NAA50,day 21,-2.96,-4.76
NACA,day 5,-0.81,-0.12
NACA,day 13,-2.72,-4.27
NACA,day 21,-2.54,-4.23
NAF1,day 5,0.44,0.21
NAF1,day 13,0.19,0.19
NAF1,day 21,0.59,0.8
NANOS1,day 5,0.11,-0.13
NANOS1,day 13,0.11,0.65
NANOS1,day 21,0.03,0.83
NANOS2,day 5,0.45,0.23
NANOS2,day 13,0.68,1.04
NANOS2,day 21,0.85,1.95
NANOS3,day 5,-0.59,0.06
NANOS3,day 13,0.61,0.75
NANOS3,day 21,0.83,1.29
NAP1L1,day 5,0.64,0.05
NAP1L1,day 13,0.35,0.92
NAP1L1,day 21,1.63,1.49
NAP1L4,day 5,-0.32,-0.12
NAP1L4,day 13,0.71,0.21
NAP1L4,day 21,0.99,0.64
NAPA,day 5,-0.89,-0.27
NAPA,day 13,-1.98,-4.39
NAPA,day 21,-2.41,-5.09
NARS1,day 5,1.25,-0.15
NARS1,day 13,-1.24,-5.39
NARS1,day 21,-1.83,-4.77
NARS2,day 5,0,0.39
NARS2,day 13,-0.94,-0.34
NARS2,day 21,-1.89,-2.29
NAT10,day 5,0.22,-0.39
NAT10,day 13,-2.05,-4.67
NAT10,day 21,-2.15,-5.45
NBPF10,day 5,-2.13,-1.64
NBPF10,day 13,-3.38,-5.93
NBPF10,day 21,-2.82,-5.32
NCBP1,day 5,-0.32,-0.16
NCBP1,day 13,-2.72,-4.12
NCBP1,day 21,-2.23,-4.54
NCBP2,day 5,-0.7,0.36
NCBP2,day 13,-2.78,-2.8
NCBP2,day 21,-3.12,-4.69
NCL,day 5,0.07,0.31
NCL,day 13,-0.52,-2.57
NCL,day 21,-1.54,-3.33
NCOA5,day 5,0.5,0.66
NCOA5,day 13,1.63,1.69
NCOA5,day 21,2.37,2.46
NDRG1,day 5,0.64,0.08
NDRG1,day 13,1.16,1.1
NDRG1,day 21,1.65,1.83
NDRG2,day 5,0.07,0.23
NDRG2,day 13,0.88,0.73
NDRG2,day 21,0.59,1.33
NDRG4,day 5,0.19,0.22
NDRG4,day 13,1.42,1.24
NDRG4,day 21,1.88,1.82
NDUFS6,day 5,-0.25,-0.32
NDUFS6,day 13,0.88,0.71
NDUFS6,day 21,1.53,1.11
NDUFV3,day 5,0.29,0.02
NDUFV3,day 13,1.31,0.68
NDUFV3,day 21,1.69,1.09
NELFE,day 5,0.3,-0.04
NELFE,day 13,-0.01,-0.03
NELFE,day 21,0.25,0.01
NFS1,day 5,-1.28,-0.49
NFS1,day 13,-3.56,-4.95
NFS1,day 21,-2.84,-5.59
NFX1,day 5,-0.71,-0.09
NFX1,day 13,0.74,0.41
NFX1,day 21,0.77,0.74
NGB,day 5,0.09,0.37
NGB,day 13,1.64,1.29
NGB,day 21,1.62,2.06
NGDN,day 5,-0.25,-0
NGDN,day 13,-4.31,-3.61
NGDN,day 21,-3.52,-3.95
NGRN,day 5,0.23,0.16
NGRN,day 13,0.96,-0.46
NGRN,day 21,-0.92,-1.04
NHP2,day 5,0.2,0.18
NHP2,day 13,-3.48,-3.96
NHP2,day 21,-3.06,-4.28
NIFK,day 5,0.49,-0.05
NIFK,day 13,-1.07,-2.79
NIFK,day 21,0.36,-2.24
NIP7,day 5,0.13,-0.15
NIP7,day 13,-4.02,-3.96
NIP7,day 21,-3.33,-5.26
NKAP,day 5,-0.3,-0.19
NKAP,day 13,-0.83,-1.16
NKAP,day 21,-2.16,-1.46
NKRF,day 5,0.11,0.19
NKRF,day 13,0.52,0.58
NKRF,day 21,0.3,0.67
NKTR,day 5,0.19,0.03
NKTR,day 13,1.09,0.6
NKTR,day 21,0.88,0.8
NLRP11,day 5,0.35,0.39
NLRP11,day 13,1.15,1.12
NLRP11,day 21,1.65,1.62
NLUC,day 5,0.58,0.12
NLUC,day 13,1.83,1.62
NLUC,day 21,3.08,2.39
NMD3,day 5,0.92,-0.12
NMD3,day 13,-1.69,-4.77
NMD3,day 21,-1.67,-5.23
NME1,day 5,-0.22,-0.33
NME1,day 13,0.56,0.67
NME1,day 21,0.77,1.4
NMT1,day 5,0.52,0.05
NMT1,day 13,-1.3,-1.19
NMT1,day 21,-2.74,-2.49
NOA1,day 5,-0.16,0
NOA1,day 13,-0.68,0.03
NOA1,day 21,-1.67,-0.81
NOB1,day 5,-0.2,-0.13
NOB1,day 13,-1.57,-3.18
NOB1,day 21,-2.69,-5.13
NOC2L,day 5,-0.41,-0.22
NOC2L,day 13,-2.76,-3.57
NOC2L,day 21,-2.2,-5.21
NOC3L,day 5,0.65,0.6
NOC3L,day 13,0.16,-2.5
NOC3L,day 21,-0.8,-2.22
NOC4L,day 5,0.24,-0.03
NOC4L,day 13,-2.59,-2.73
NOC4L,day 21,-3.7,-4.95
NOCT,day 5,-0.08,-0.32
NOCT,day 13,1.32,0.2
NOCT,day 21,1.11,0.49
NOL10,day 5,-0.3,-0.44
NOL10,day 13,-2.56,-5.56
NOL10,day 21,-2.22,-5.39
NOL11,day 5,0.19,-0.18
NOL11,day 13,-0.84,-2.08
NOL11,day 21,-0.69,-2.65
NOL12,day 5,0.54,0.15
NOL12,day 13,-0.88,-1.43
NOL12,day 21,-2.09,-2.05
NOL3,day 5,0.59,0.03
NOL3,day 13,0.34,0.68
NOL3,day 21,1.13,1.46
NOL6,day 5,0.09,-0.1
NOL6,day 13,-2.89,-4.13
NOL6,day 21,-2.17,-4.6
NOL7,day 5,0.14,0.1
NOL7,day 13,-0.53,0.49
NOL7,day 21,0.55,0.98
NOL8,day 5,-0.18,-0.17
NOL8,day 13,-1.63,-0.8
NOL8,day 21,-0.39,-0.74
NOL9,day 5,0.1,0.33
NOL9,day 13,-2.2,-2.66
NOL9,day 21,-2.55,-4.31
NOLC1,day 5,-0.73,0.08
NOLC1,day 13,-0.98,-0.97
NOLC1,day 21,-2.92,-1.69
NOM1,day 5,-0.52,0.38
NOM1,day 13,-0.6,-2.25
NOM1,day 21,-0.64,-4.09
NONO,day 5,-0.09,-0.44
NONO,day 13,-0.46,-2.19
NONO,day 21,-0.08,-3.25
NOP10,day 5,0.73,-0.3
NOP10,day 13,-0.57,-2.84
NOP10,day 21,-0.39,-3.46
NOP14,day 5,0.32,-0.16
NOP14,day 13,-2.21,-3.39
NOP14,day 21,-1.95,-3.49
NOP16,day 5,-0.11,-0.27
NOP16,day 13,-3.83,-4.94
NOP16,day 21,-2.98,-5.66
NOP2,day 5,0.23,-0.15
NOP2,day 13,-1.35,-4.03
NOP2,day 21,-0.64,-4.21
NOP53,day 5,-1.69,-0.35
NOP53,day 13,-3.4,-4.06
NOP53,day 21,-1.87,-4.18
NOP56,day 5,-0.98,-1.06
NOP56,day 13,-3.21,-5.57
NOP56,day 21,-3.12,-5.27
NOP58,day 5,-0.64,-0.8
NOP58,day 13,-3.34,-5.1
NOP58,day 21,-2.88,-4.59
NOP9,day 5,0.94,0.17
NOP9,day 13,-1.23,-1.46
NOP9,day 21,-0.88,-4.02
NOS1,day 5,0.19,0.19
NOS1,day 13,0.95,1.04
NOS1,day 21,1.73,1.96
NOS2,day 5,-0.12,-0.06
NOS2,day 13,0.31,0.52
NOS2,day 21,0.57,0.98
NOS3,day 5,-1.31,-0.09
NOS3,day 13,-0.68,0.55
NOS3,day 21,-0.06,0.91
NOSIP,day 5,-0.1,0.26
NOSIP,day 13,0.25,0.72
NOSIP,day 21,0.46,1.01
NOVA1,day 5,0.45,-0.07
NOVA1,day 13,0.9,0.54
NOVA1,day 21,1.22,1.19
NOVA2,day 5,-0.07,0.2
NOVA2,day 13,0.97,1.29
NOVA2,day 21,1.75,2.17
NPM1,day 5,0.4,-0.12
NPM1,day 13,-0.77,-0.93
NPM1,day 21,-2.34,-3
NPM2,day 5,0.65,0.45
NPM2,day 13,1.69,1.47
NPM2,day 21,1.8,2.22
NPM3,day 5,0.11,0.01
NPM3,day 13,0.74,1.04
NPM3,day 21,0.97,1.81
NQO1,day 5,-0.06,0.02
NQO1,day 13,-0.19,0.53
NQO1,day 21,0.35,1.01
NR0B1,day 5,-0.4,0.13
NR0B1,day 13,0.08,0.4
NR0B1,day 21,1.39,0.49
NRAP,day 5,0.58,0.17
NRAP,day 13,1.65,1.07
NRAP,day 21,1.9,1.67
NSA2,day 5,0.68,-0.12
NSA2,day 13,-1.56,-4.38
NSA2,day 21,-0.84,-3.59
NSF,day 5,0.46,-0.11
NSF,day 13,-1.72,-5.3
NSF,day 21,-1.28,-4.66
NSFL1C,day 5,-0.18,-0.07
NSFL1C,day 13,0.92,0.96
NSFL1C,day 21,0.58,1.75
NSRP1,day 5,-0.43,-0.05
NSRP1,day 13,0.38,0.62
NSRP1,day 21,-0.14,0.85
NSUN2,day 5,0.08,0.27
NSUN2,day 13,0.91,1.28
NSUN2,day 21,0.94,1.46
NSUN3,day 5,0.44,-0.07
NSUN3,day 13,-0.48,-0.49
NSUN3,day 21,-2.03,-1.3
NSUN4,day 5,-0.44,-0.05
NSUN4,day 13,0.08,-0.35
NSUN4,day 21,-0.64,-0.17
NSUN5,day 5,0.25,0.32
NSUN5,day 13,1.05,1.45
NSUN5,day 21,1.67,2.05
NSUN6,day 5,0.51,0.14
NSUN6,day 13,0.85,0.87
NSUN6,day 21,0.07,1.19
NSUN7,day 5,0.78,0.36
NSUN7,day 13,1.23,1.19
NSUN7,day 21,1.92,1.8
NTPCR,day 5,0.57,-0.07
NTPCR,day 13,-0.01,0.6
NTPCR,day 21,0.25,1.17
NUBP1,day 5,0.42,0
NUBP1,day 13,-1.72,-4.6
NUBP1,day 21,-1.77,-4.93
NUCKS1,day 5,0.85,0.52
NUCKS1,day 13,2.41,1.84
NUCKS1,day 21,2.94,2.72
NUDT12,day 5,-0.15,-0.27
NUDT12,day 13,0.7,0.61
NUDT12,day 21,1.12,1.17
NUDT16,day 5,0.81,-0
NUDT16,day 13,1.54,0.94
NUDT16,day 21,2.3,1.79
NUDT16L1,day 5,0.07,-0.14
NUDT16L1,day 13,0.66,0.18
NUDT16L1,day 21,-0.26,-0.31
NUDT21,day 5,0.06,0.17
NUDT21,day 13,-1.88,-4.39
NUDT21,day 21,-3.02,-5.04
NUDT3,day 5,0.5,-0.15
NUDT3,day 13,1.92,0.56
NUDT3,day 21,3.07,1.3
NUFIP1,day 5,-0.29,-0.63
NUFIP1,day 13,-0.22,-2.29
NUFIP1,day 21,-0.21,-2.05
NUFIP2,day 5,-0.83,-0.11
NUFIP2,day 13,-0.31,0.25
NUFIP2,day 21,-0.08,0.48
NUP153,day 5,-0.85,-0.55
NUP153,day 13,0.27,-0.87
NUP153,day 21,-0.21,-0.8
NUP42,day 5,0.15,0.35
NUP42,day 13,1.12,1.62
NUP42,day 21,2.15,2.19
NUP93,day 5,-0.13,-0.03
NUP93,day 13,-2.41,-3.07
NUP93,day 21,-1.84,-4.34
NUP98,day 5,-0.1,-0.21
NUP98,day 13,-3,-5.45
NUP98,day 21,-2.28,-4.56
NUSAP1,day 5,-0.01,0.28
NUSAP1,day 13,0.91,1.36
NUSAP1,day 21,1.47,2.11
NUTF2,day 5,-0.91,-0.52
NUTF2,day 13,-4.41,-6.85
NUTF2,day 21,-3.98,-5.72
NVL,day 5,0.1,0.25
NVL,day 13,-1.05,-1.41
NVL,day 21,-1.37,-2.24
NXF1,day 5,-0.98,-1.09
NXF1,day 13,-1.12,-2.96
NXF1,day 21,-0.85,-2.58
NXF2,day 5,0.37,-0.2
NXF2,day 13,-0.01,0.27
NXF2,day 21,0.53,0.57
NXF2B,day 5,-0.13,-0.37
NXF2B,day 13,-1.51,-0.7
NXF2B,day 21,0.06,-0.73
NXF3,day 5,0.1,-0.05
NXF3,day 13,0.11,0.46
NXF3,day 21,1.45,0.68
NXF5,day 5,-0.23,-0.06
NXF5,day 13,0.46,0.54
NXF5,day 21,-0.68,0.36
NXT1,day 5,-0.98,0.27
NXT1,day 13,-0.03,-0.11
NXT1,day 21,0.25,0.38
NXT2,day 5,0.03,-0.02
NXT2,day 13,0.57,0.57
NXT2,day 21,0.68,0.76
NYNRIN,day 5,-0.08,0.07
NYNRIN,day 13,-0.03,-0.36
NYNRIN,day 21,-0.33,-0.22
OAS1,day 5,-0.18,0.11
OAS1,day 13,0.53,1.07
OAS1,day 21,1.38,1.86
OAS2,day 5,0.11,0.15
OAS2,day 13,0.64,1.13
OAS2,day 21,0.94,1.85
OAS3,day 5,0.47,0.53
OAS3,day 13,1.18,1.77
OAS3,day 21,1.96,2.52
OASL,day 5,-0.29,-0.21
OASL,day 13,1.13,0.71
OASL,day 21,0.95,1.34
OGN,day 5,-0.23,0.02
OGN,day 13,0.82,0.99
OGN,day 21,0.65,1.28
OLA1,day 5,-0.16,0.3
OLA1,day 13,0.71,0.81
OLA1,day 21,0.05,1
OSGEP,day 5,0.4,0.36
OSGEP,day 13,-0.04,-0.66
OSGEP,day 21,-1.17,-1.44
OSGEPL1,day 5,0.58,0.07
OSGEPL1,day 13,-0.54,-0.03
OSGEPL1,day 21,-0.75,-0.51
OTUD4,day 5,-0.24,0.58
OTUD4,day 13,1.67,1.3
OTUD4,day 21,2.08,2.1
P2RX7,day 5,0.36,-0.03
P2RX7,day 13,0.57,0.24
P2RX7,day 21,0.83,0.25
P4HB,day 5,1.26,-0.08
P4HB,day 13,0.94,0.49
P4HB,day 21,1.28,0.83
PA2G4,day 5,-0.16,-0.08
PA2G4,day 13,0.15,0.62
PA2G4,day 21,0.53,0.67
PABPC1,day 5,-0.01,-0.68
PABPC1,day 13,-2.41,-2.91
PABPC1,day 21,-3.12,-3.75
PABPC1L,day 5,-0.65,0.28
PABPC1L,day 13,0.34,0.88
PABPC1L,day 21,1.46,1.62
PABPC1L2A,day 5,0.01,0.05
PABPC1L2A,day 13,-0.17,0.48
PABPC1L2A,day 21,1.4,0.93
PABPC1L2B,day 5,-0.22,-0.66
PABPC1L2B,day 13,-0.05,-0.82
PABPC1L2B,day 21,-1.54,-0.42
PABPC3,day 5,0.76,0.25
PABPC3,day 13,1.86,1.02
PABPC3,day 21,1.63,1.54
PABPC4,day 5,0.99,-0.04
PABPC4,day 13,1.24,0.5
PABPC4,day 21,1.16,0.7
PABPC4L,day 5,-0.36,0.09
PABPC4L,day 13,-0.13,0.45
PABPC4L,day 21,0.45,0.6
PABPC5,day 5,0.27,0.64
PABPC5,day 13,0.05,1.68
PABPC5,day 21,1.47,2.57
PABPN1,day 5,0.05,-0.16
PABPN1,day 13,-0.34,-1.2
PABPN1,day 21,-0.13,-1.27
PABPN1L,day 5,0.29,-0.1
PABPN1L,day 13,0.77,0.51
PABPN1L,day 21,1.36,0.88
PAFAH1B3,day 5,0.09,0.23
PAFAH1B3,day 13,0.98,1.02
PAFAH1B3,day 21,1.49,1.58
PAICS,day 5,0.44,0.24
PAICS,day 13,0.78,0.78
PAICS,day 21,1.22,1.47
PAIP1,day 5,0.34,0.01
PAIP1,day 13,0.35,0.66
PAIP1,day 21,0.38,1.5
PAIP2,day 5,0.34,0.38
PAIP2,day 13,1.77,2.1
PAIP2,day 21,2.83,2.96
PAIP2B,day 5,-0.39,0.09
PAIP2B,day 13,-0.28,-0.08
PAIP2B,day 21,0.07,-0.4
PAN2,day 5,0.11,0.46
PAN2,day 13,0.68,1.37
PAN2,day 21,1.41,2.29
PAN3,day 5,0.61,0.07
PAN3,day 13,0.45,1.19
PAN3,day 21,1.51,2.3
PAPOLA,day 5,0.08,0
PAPOLA,day 13,0.34,0.05
PAPOLA,day 21,-0.73,0.15
PAPOLB,day 5,0.02,0.16
PAPOLB,day 13,0.72,1.08
PAPOLB,day 21,0.82,1.74
PAPOLG,day 5,-0.57,-0.08
PAPOLG,day 13,0.37,0.3
PAPOLG,day 21,0.47,0.59
PARK7,day 5,0.33,0.61
PARK7,day 13,1.32,1.37
PARK7,day 21,2.29,2.28
PARN,day 5,0.32,0.3
PARN,day 13,1.44,0.86
PARN,day 21,1.02,0.86
PARP1,day 5,-0.05,-0.14
PARP1,day 13,0.43,0.54
PARP1,day 21,0.54,0.86
PARP12,day 5,0.36,0.25
PARP12,day 13,1.19,0.75
PARP12,day 21,0.98,0.89
PARP4,day 5,0.08,0.45
PARP4,day 13,1.11,1.13
PARP4,day 21,2.05,1.74
PARS2,day 5,0.21,0.01
PARS2,day 13,0.74,-1.87
PARS2,day 21,-1.5,-2.58
PATL1,day 5,-0.09,0.12
PATL1,day 13,0.78,1.12
PATL1,day 21,0.82,1.04
PATL2,day 5,0.09,0.12
PATL2,day 13,1.36,1.18
PATL2,day 21,2.06,1.81
PATZ1,day 5,0.36,0.36
PATZ1,day 13,1.21,1.47
PATZ1,day 21,1.68,2.45
PAWR,day 5,0.02,-0.46
PAWR,day 13,0.48,0.04
PAWR,day 21,0.66,0.22
PC,day 5,0.13,0.35
PC,day 13,0.9,1.3
PC,day 21,1.27,2.09
PCBP1,day 5,-0.32,-0.51
PCBP1,day 13,-2.22,-3.29
PCBP1,day 21,-2.34,-5.88
PCBP2,day 5,0.61,0.4
PCBP2,day 13,-0.47,-0.69
PCBP2,day 21,-1.79,-1.98
PCBP3,day 5,-0.15,0.32
PCBP3,day 13,0.57,1.48
PCBP3,day 21,1.73,2.23
PCBP4,day 5,0.43,-0.18
PCBP4,day 13,0.95,1
PCBP4,day 21,0.77,1.79
PCDH20,day 5,-0.38,0.4
PCDH20,day 13,0.63,1.22
PCDH20,day 21,0.42,1.73
PCDHGA9,day 5,0.29,-0.06
PCDHGA9,day 13,1.07,0.79
PCDHGA9,day 21,1.29,1.22
PCF11,day 5,-0.67,-1.11
PCF11,day 13,-1.26,-2.63
PCF11,day 21,-1.07,-2.83
PCIF1,day 5,-0.04,0.31
PCIF1,day 13,1.13,0.86
PCIF1,day 21,1.76,1.37
PCNP,day 5,-0.13,-0.27
PCNP,day 13,-0.45,-0.48
PCNP,day 21,0.37,-0.29
PCSK9,day 5,-0.47,-0.26
PCSK9,day 13,-0.04,-0.05
PCSK9,day 21,0.55,0.42
